,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1960.0,14.0,40.0,0.0,89.0
1,1950.0,5.0,50.0,1.0,94.0
2,1949.0,0.0,51.0,2.0,94.0
3,1949.0,0.0,51.0,3.0,94.0
4,1949.0,0.0,51.0,4.0,94.0
5,1949.0,0.0,51.0,5.0,94.0
6,1949.0,0.0,51.0,6.0,94.0
7,1949.0,0.0,51.0,7.0,94.0
8,1949.0,0.0,51.0,8.0,94.0
9,1949.0,0.0,51.0,9.0,94.0
10,1949.0,0.0,51.0,10.0,94.0
11,1949.0,0.0,51.0,11.0,94.0
12,1949.0,0.0,51.0,12.0,94.0
13,1949.0,0.0,51.0,13.0,94.0
14,1949.0,0.0,51.0,14.0,94.0
15,1949.0,0.0,51.0,15.0,94.0
16,1949.0,0.0,51.0,16.0,94.0
17,1949.0,0.0,51.0,17.0,94.0
18,1949.0,0.0,51.0,18.0,94.0
19,1949.0,0.0,51.0,19.0,94.0
20,1949.0,0.0,51.0,20.0,94.0
